"...1","id","Autor","titulo","fecha","Técnica","soporte","dimension","procedencia","url_ficha","url","path","tweet","tweetsize","tuiteadoya"
1292,"P002613","Mariano Fortuny y Marsal; Raimundo de Madrazo y Garreta","Jardín de la casa de Fortuny","1872 - 1877","Óleo","Tabla","Alto: 40 cm.; Ancho: 28 cm.","Herederos de Mariano Fortuny y Marsal, 1874; colección Ramón de Errazu, 1875; legado Ramón de Errazu y Rubio de Tejada, 1904","https://www.museodelprado.es/coleccion/obra-de-arte/jardin-de-la-casa-de-fortuny/d03b475c-4d3d-433d-b33d-4b31ab8ed43c?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/d0/d03b/d03b475c-4d3d-433d-b33d-4b31ab8ed43c/b26fc8da-0ffc-448f-9431-930e7c9c9f43.jpg","data/images/P002613.jpg","Jardín de la casa de Fortuny - Mariano Fortuny y Marsal; Raimundo de Madrazo y Garreta (1872 - 1877)  https://www.museodelprado.es/coleccion/obra-de-arte/jardin-de-la-casa-de-fortuny/d03b475c-4d3d-433d-b33d-4b31ab8ed43c?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
125,"P000577","Antoniazzo Romano","La Virgen con el Niño","Hacia 1495","Pintura al fresco","Revestimiento mural trasladado a lienzo","Alto: 130 cm.; Ancho: 110 cm.","Embajada de España en Roma; enviado al Museo del Prado por el Ministerio de Instrucción Pública, 1907","https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-con-el-nio/d6bc58b5-d6d2-4fe1-8e9d-2d7f1929f4da?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/d6/d6bc/d6bc58b5-d6d2-4fe1-8e9d-2d7f1929f4da/210379f4-0bf7-4ea3-92f0-7722c3fc0173.jpg","data/images/P000577.jpg","La Virgen con el Niño - Antoniazzo Romano (Hacia 1495)  https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-con-el-nio/d6bc58b5-d6d2-4fe1-8e9d-2d7f1929f4da?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1749,"E000042","Taller romano","El baile de las ménades","120 - 140","Esculpido","Mármol blanco","Alto: 139 cm.; Ancho: 76 cm.; Fondo: 13 cm.","Colección Real (Madrid, Alcázar, Col. Carlos III).","https://www.museodelprado.es/coleccion/obra-de-arte/el-baile-de-las-menades/cc38b213-7a6c-4703-9816-85adbab08a25?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/cc/cc38/cc38b213-7a6c-4703-9816-85adbab08a25/4c1e7fcd-3b5f-4ba2-953d-7671a1045ad9.jpg","data/images/E000042.jpg","El baile de las ménades - Taller romano (120 - 140)  https://www.museodelprado.es/coleccion/obra-de-arte/el-baile-de-las-menades/cc38b213-7a6c-4703-9816-85adbab08a25?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
581,"P001072","José de Ribera","San Pedro","Hacia 1632","Óleo","Lienzo","Alto: 128 cm.; Ancho: 100 cm.","Colección Real (Palacio Real Nuevo, Madrid, pieza interior triangulada, 1747, nº 415; Palacio Real Nuevo, Madrid, sacristía de la real capilla, 1772, nº 415; Palacio Real Nuevo, Madrid, antecámara de las señoras infantas-pieza encarnada a la derecha, 1794, nº 415; Palacio Real, Madrid, antecámara, 1814-1818, nº 415).","https://www.museodelprado.es/coleccion/obra-de-arte/san-pedro/cc902806-7a3c-45e3-8e2f-48f24b8ff035?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/cc/cc90/cc902806-7a3c-45e3-8e2f-48f24b8ff035/978c1188-3206-443b-b2ad-169728522688.jpg","data/images/P001072.jpg","San Pedro - José de Ribera (Hacia 1632)  https://www.museodelprado.es/coleccion/obra-de-arte/san-pedro/cc902806-7a3c-45e3-8e2f-48f24b8ff035?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1029,"P007602","Mariano Salvador Maella","La Inmaculada Concepción","Hacia 1781","Óleo","Lienzo","Alto: 142 cm.; Ancho: 74 cm.","Adquisición, 1991.","https://www.museodelprado.es/coleccion/obra-de-arte/la-inmaculada-concepcion/61db14cb-c75f-4904-8e15-9eed097917e2?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/61/61db/61db14cb-c75f-4904-8e15-9eed097917e2/67b9d8a4-b8b1-4ff4-a6ec-bbc21778f9c4.jpg","data/images/P007602.jpg","La Inmaculada Concepción - Mariano Salvador Maella (Hacia 1781)  https://www.museodelprado.es/coleccion/obra-de-arte/la-inmaculada-concepcion/61db14cb-c75f-4904-8e15-9eed097917e2?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
743,"P001665","Pedro Pablo Rubens","Diana y sus ninfas sorprendidas por sátiros","1639 - 1640","Óleo","Lienzo","Alto: 129,5 cm.; Ancho: 315,2 cm.","Colección Real (Real Alcázar, Madrid, Pieza larga, 1666, s.n.; Real Alcázar, Pieza larga de las bóvedas, 1686, s.n.; Real Alcázar, Pieza larga de las bobedas, 1701-1703, nº 365; Real Alcázar, Pinturas que estan en las Bóbedas de Palacio, 1734, nº267; Palacio Nuevo, Pinturas existentes antiguas Primera sala de la furriera, 1747, nº137; Palacio del Buen Retiro, Madrid, Piezas que siguen al casón, 1772, nº137; Palacio del Buen Retiro, 1794, nº497; Real Academia de Bellas Artes de San Fernando, Madrid, Pinturas que posee la Academia de Bellas Artes de San Fernando, Madrid, 1796-1805, nº87; Real Academia de Bellas Artes de San Fernando, Sala Reservada, 1827, nº87; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Sala Reservada, 1834, nº55)","https://www.museodelprado.es/coleccion/obra-de-arte/diana-y-sus-ninfas-sorprendidas-por-satiros/030098df-2bf5-4e2b-a457-e214560af51c?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/03/0300/030098df-2bf5-4e2b-a457-e214560af51c/fb59db82-59da-42f0-852a-23a0baa8ea68.jpg","data/images/P001665.jpg","Diana y sus ninfas sorprendidas por sátiros - Pedro Pablo Rubens (1639 - 1640)  https://www.museodelprado.es/coleccion/obra-de-arte/diana-y-sus-ninfas-sorprendidas-por-satiros/030098df-2bf5-4e2b-a457-e214560af51c?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
474,"P001620","Clara Peeters","Bodegón con flores, copa de plata dorada, almendras, frutos secos, dulces, panecillos, vino y jarra de peltre","1611","Óleo","Tabla","Alto: 52 cm.; Ancho: 73 cm.","Colección Real (Colección Isabel Farnesio, Palacio de La Granja de San Ildefonso, Segovia, pieza de la chimenea junto al tocador, 1746, nº680; La Granja, pieza cuadrada inmediata al dormitorio, 1766, nº 680; La Granja, 1794, nº680; Palacio Real, Madrid, dormitorio de príncipes-pieza séptima, 1814-1818, nº680).","https://www.museodelprado.es/coleccion/obra-de-arte/bodegon-con-flores-copa-de-plata-dorada-almendras/97a18fea-112a-417a-9a8a-6665a44cc331?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/97/97a1/97a18fea-112a-417a-9a8a-6665a44cc331/87b3f39f-47fa-4c2e-8c7b-0e67b3c0a423.jpg","data/images/P001620.jpg","Bodegón con flores, copa de plata dorada, almendras, frutos secos, dulces, panecillos, vino y jarra de peltre - Clara Peeters (1611)  https://www.museodelprado.es/coleccion/obra-de-arte/bodegon-con-flores-copa-de-plata-dorada-almendras/97a18fea-112a-417a-9a8a-6665a44cc331?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1651,"D004144","Francisco de Goya y Lucientes","Divina Razon. No deges ninguno","1812 - 1814","Aguada; Pincel; Tinta de hollín; Tinta parda","Papel verjurado","Alto: 205 mm.; Ancho: 144 mm.","Javier Goya, Madrid, 1828; Mariano Goya, Madrid, 1854; Federico de Madrazo y/o Román Garreta, Madrid, c. 1855-1860; Museo de la Trinidad, Madrid, 5-4-1866; Museo del Prado, 1872.","https://www.museodelprado.es/coleccion/obra-de-arte/divina-razon-no-deges-ninguno/b05b6422-4e0a-47dd-991e-9015f070524a?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/b0/b05b/b05b6422-4e0a-47dd-991e-9015f070524a/7bf464d3-926a-45ab-9bac-7c61e6db47b1.jpg","data/images/D004144.jpg","Divina Razon. No deges ninguno - Francisco de Goya y Lucientes (1812 - 1814)  https://www.museodelprado.es/coleccion/obra-de-arte/divina-razon-no-deges-ninguno/b05b6422-4e0a-47dd-991e-9015f070524a?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1688,"D004284","Francisco de Goya y Lucientes","Los ensacados","1815 - 1819","Aguada roja; Sanguina","Papel verjurado, ahuesado","Alto: 243 mm.; Ancho: 326 mm.","Javier Goya, Madrid, 1828; Mariano Goya, Madrid, 1854; Valentín Carderera, Madrid, c. 1861; Mariano Carderera; Museo del Prado, Madrid, 1880; Museo del Prado, 12-11-1886.","https://www.museodelprado.es/coleccion/obra-de-arte/los-ensacados/7cc745f8-ee21-4523-9a6a-5e073f1508e9?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/7c/7cc7/7cc745f8-ee21-4523-9a6a-5e073f1508e9/fc4158e4-936a-4363-bf7b-4006104a8424.jpg","data/images/D004284.jpg","Los ensacados - Francisco de Goya y Lucientes (1815 - 1819)  https://www.museodelprado.es/coleccion/obra-de-arte/los-ensacados/7cc745f8-ee21-4523-9a6a-5e073f1508e9?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1833,"E000339","Anónimo","Una etíope","Principio del siglo XVII","Esculpido","Mármol de Italia; Caliza negra","Alto: 77 cm.; Ancho: 55 cm.; Fondo: 27 cm.; Peso: 64,6 Kg.","Colección Real (almoneda de bienes de Fernando de Valenzuela, marqués de Villasierra; adquirida por Carlos II, 1678; Palacio del Buen Retiro, Madrid, guardajoyas, 1701, nº 369; Palacio Real Nuevo, Madrid, 1794, nº 821).","https://www.museodelprado.es/coleccion/obra-de-arte/una-etiope/e3b711b5-d74d-4107-9bfb-91897185c457?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/e3/e3b7/e3b711b5-d74d-4107-9bfb-91897185c457/a059157d-f6a0-43df-ae33-537c1a32e065.jpg","data/images/E000339.jpg","Una etíope - Anónimo (Principio del siglo XVII)  https://www.museodelprado.es/coleccion/obra-de-arte/una-etiope/e3b711b5-d74d-4107-9bfb-91897185c457?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1600,"D004106","Francisco de Goya y Lucientes","Esto huele á Cosa de Magia","1808 - 1814","Aguada; Pincel; Pluma; Tinta parda","Papel verjurado","Alto: 205 mm.; Ancho: 142 mm.","Javier Goya, Madrid, 1828; Mariano Goya, Madrid, 1854; Federico de Madrazo y/o Román Garreta, Madrid, c. 1855-1860; Museo de la Trinidad, Madrid, 5-4-1866; Museo del Prado, 1872.","https://www.museodelprado.es/coleccion/obra-de-arte/esto-huele-a-cosa-de-magia/10214397-ef4f-4803-af5f-716351e7481e?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/10/1021/10214397-ef4f-4803-af5f-716351e7481e/093f52e0-c892-4b2d-bf85-b60da79270a3.jpg","data/images/D004106.jpg","Esto huele á Cosa de Magia - Francisco de Goya y Lucientes (1808 - 1814)  https://www.museodelprado.es/coleccion/obra-de-arte/esto-huele-a-cosa-de-magia/10214397-ef4f-4803-af5f-716351e7481e?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1400,"D006068/155","Francisco de Goya y Lucientes","Apunte de figura. Anotaciones referidas al patrón de barco Bartolomeo Puigvert y al Tesorero Luis Beltrán","Hacia 1771","Lápiz negro","Papel verjurado","Alto: 186 mm.; Ancho: 130 mm.","Colección particular, Palma de Mallorca; Edmund Peel & Asociados, Madrid, 1993; Fervisa S.A, herencia de Manuel Villaescusa, Madrid, 1993; Museo del Prado, 1993.","https://www.museodelprado.es/coleccion/obra-de-arte/apunte-de-figura-anotaciones-referidas-al-patron/35674452-60c9-41c8-982e-a62a898ad6a9?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/35/3567/35674452-60c9-41c8-982e-a62a898ad6a9/9c320057-5c22-435b-bc13-29f8585b2298.jpg","data/images/D006068-155.jpg","Apunte de figura. Anotaciones referidas al patrón de barco Bartolomeo Puigvert y al Tesorero Luis Beltrán - Francisco de Goya y Lucientes (Hacia 1771)  https://www.museodelprado.es/coleccion/obra-de-arte/apunte-de-figura-anotaciones-referidas-al-patron/35674452-60c9-41c8-982e-a62a898ad6a9?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
514,"P001689","Pedro Pablo Rubens","Ana de Austria, reina de Francia","Hacia 1622","Óleo","Lienzo","Alto: 130 cm.; Ancho: 108 cm.","Colección Real (Real Alcázar, Madrid, Galería del cierzo, 1666, s.n.; Real Alcázar, Galeria del cierzo, 1686 s.n.; Real Alcázar, Galería del cierzo, 1700-1703, nº184; Real Alcázar, Pinturas que estan en las Bobedas de Palacio, 1734, nº218; Palacio Nuevo, Madrid, Pintura existentes antiguas, Primera sala de la Furriera, 1747, nº93; Palacio Nuevo, Antecámara del infante don Luis, 1772, nº93; Palacio Nuevo, Pieza de librería de Apolo, 1794, nº96; [¿]Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Salón 2º Escuela Flamenca, 1834, nº397[?])","https://www.museodelprado.es/coleccion/obra-de-arte/ana-de-austria-reina-de-francia/5c57772a-c0dd-4842-b66e-0f3955374f6c?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/5c/5c57/5c57772a-c0dd-4842-b66e-0f3955374f6c/ddd08c71-ee78-4a08-bcad-f6cbf6ade0ba.jpg","data/images/P001689.jpg","Ana de Austria, reina de Francia - Pedro Pablo Rubens (Hacia 1622)  https://www.museodelprado.es/coleccion/obra-de-arte/ana-de-austria-reina-de-francia/5c57772a-c0dd-4842-b66e-0f3955374f6c?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
199,"P001920","Bernard van Orley","La Virgen de la leche","Hacia 1520","Óleo","Tabla","Alto: 54 cm.; Ancho: 30 cm.","Colección Real (Real Monasterio de San Lorenzo, El Escorial, Madrid, Oratorio de la enfermería, 1839)","https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-leche/e011561c-8e6c-4d6e-87ce-9bc62d92f9e5?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/e0/e011/e011561c-8e6c-4d6e-87ce-9bc62d92f9e5/d6a3dd41-b978-42f0-ba3c-578e9b2d795c.jpg","data/images/P001920.jpg","La Virgen de la leche - Bernard van Orley (Hacia 1520)  https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-leche/e011561c-8e6c-4d6e-87ce-9bc62d92f9e5?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
598,"P000144","Francesco Furini","Lot y sus hijas","Hacia 1634","Óleo","Lienzo","Alto: 123 cm.; Ancho: 120 cm.","Colección Real (Palacio del Buen Retiro, Madrid, 1701, s.n.; Palacio Real Nuevo, Madrid, estudio de Andrés de la Calleja, 1772, nº 378).","https://www.museodelprado.es/coleccion/obra-de-arte/lot-y-sus-hijas/703e2792-decb-4f67-9085-0b318dd9a0eb?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/70/703e/703e2792-decb-4f67-9085-0b318dd9a0eb/0a1f3171-bbad-4a79-9213-5eb5bd91d48e.jpg","data/images/P000144.jpg","Lot y sus hijas - Francesco Furini (Hacia 1634)  https://www.museodelprado.es/coleccion/obra-de-arte/lot-y-sus-hijas/703e2792-decb-4f67-9085-0b318dd9a0eb?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
499,"P001347","Denis van Alsloot","Fiestas del Ommegang en Bruselas: procesión de gremios","1616","Óleo","Lienzo","Alto: 131 cm.; Ancho: 382,8 cm.","Colección Real (Real Alcázar, Madrid, salón grande de las fiestas públicas, 1636, s.n.; ¿Real Alcázar, Madrid, pinturas desmontadas-bóvedas de la priora, 1686, s.n.?; Palacio Real Nuevo, Madrid, pinturas que quedaron sin colgar en la última pieza de la Furriera, 1747, nº 694; Palacio del Buen Retiro, Madrid, galería del mediodía, 1772, ¿nº 574?; Buen Retiro, 1794, nº 806)","https://www.museodelprado.es/coleccion/obra-de-arte/fiestas-del-ommegang-en-bruselas-procesion-de/ac223507-e531-4eb6-a600-63d0b91d6dfe?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/ac/ac22/ac223507-e531-4eb6-a600-63d0b91d6dfe/c29a1fc9-5e8d-4e72-bc9c-29bf1697d05e.jpg","data/images/P001347.jpg","Fiestas del Ommegang en Bruselas: procesión de gremios - Denis van Alsloot (1616)  https://www.museodelprado.es/coleccion/obra-de-arte/fiestas-del-ommegang-en-bruselas-procesion-de/ac223507-e531-4eb6-a600-63d0b91d6dfe?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
